n	MeshesToLoad	MeshesLoadedpercentage(Loaded/ToLoad)
9.72	144	76	0.527778
9.73	144	76	0.527778
9.74	144	76	0.527778
9.75	144	76	0.527778
9.76	144	76	0.527778
9.77	144	76	0.527778
9.78	144	76	0.527778
9.79	144	76	0.527778
9.8	144	76	0.527778
9.81	144	76	0.527778
9.82	144	80	0.555556
9.83	144	80	0.555556
9.84	144	80	0.555556
9.85	144	80	0.555556
9.86	144	80	0.555556
9.87	144	80	0.555556
9.88	144	80	0.555556
9.89	144	80	0.555556
9.9	144	80	0.555556
9.91	144	80	0.555556
9.92	144	80	0.555556
9.93	144	80	0.555556
9.94	144	80	0.555556
9.95	144	80	0.555556
9.96	144	80	0.555556
9.97	144	80	0.555556
9.98	144	80	0.555556
9.99	144	80	0.555556
10	144	80	0.555556
10.01	144	80	0.555556
10.02	144	80	0.555556
10.03	144	80	0.555556
10.04	144	80	0.555556
10.05	144	80	0.555556
10.06	144	80	0.555556
10.07	144	80	0.555556
10.08	144	80	0.555556
10.09	144	80	0.555556
10.1	144	80	0.555556
10.11	144	80	0.555556
10.12	144	80	0.555556
10.13	144	80	0.555556
10.14	144	80	0.555556
10.15	144	80	0.555556
10.16	144	80	0.555556
10.17	144	80	0.555556
10.18	144	80	0.555556
10.19	144	80	0.555556
10.2	144	80	0.555556
10.21	144	80	0.555556
10.22	144	80	0.555556
10.23	144	80	0.555556
10.24	144	80	0.555556
10.25	144	80	0.555556
10.26	144	80	0.555556
10.27	144	80	0.555556
10.28	144	80	0.555556
10.29	144	80	0.555556
10.3	144	80	0.555556
10.31	144	80	0.555556
10.32	144	80	0.555556
10.33	144	72	0.5
10.34	144	72	0.5
10.35	144	72	0.5
10.36	144	72	0.5
10.37	144	68	0.472222
10.38	144	68	0.472222
10.39	144	64	0.444444
10.4	144	64	0.444444
10.41	144	64	0.444444
10.42	144	64	0.444444
10.43	144	64	0.444444
10.44	144	64	0.444444
10.45	144	64	0.444444
10.46	144	64	0.444444
10.47	144	64	0.444444
10.48	144	64	0.444444
10.49	144	64	0.444444
10.5	144	64	0.444444
10.51	144	64	0.444444
10.52	144	64	0.444444
10.53	144	64	0.444444
10.54	144	76	0.527778
10.55	144	76	0.527778
10.56	144	76	0.527778
10.57	144	76	0.527778
10.58	144	76	0.527778
10.59	144	76	0.527778
10.6	144	76	0.527778
10.61	144	76	0.527778
10.62	144	76	0.527778
10.63	144	76	0.527778
10.64	144	76	0.527778
10.65	144	76	0.527778
10.66	144	76	0.527778
10.67	144	76	0.527778
10.68	144	76	0.527778
10.69	144	76	0.527778
10.7	144	76	0.527778
10.71	144	76	0.527778
10.72	144	76	0.527778
10.73	144	76	0.527778
10.74	144	76	0.527778
10.75	144	80	0.555556
10.76	144	80	0.555556
10.77	144	80	0.555556
10.78	144	80	0.555556
10.79	144	80	0.555556
10.8	144	80	0.555556
10.81	144	80	0.555556
10.82	144	80	0.555556
10.83	144	80	0.555556
10.84	144	80	0.555556
10.85	144	80	0.555556
10.86	144	80	0.555556
10.87	144	80	0.555556
10.88	144	80	0.555556
10.89	144	80	0.555556
10.9	144	80	0.555556
10.91	144	80	0.555556
10.92	144	80	0.555556
10.93	144	80	0.555556
10.94	144	80	0.555556
10.95	144	80	0.555556
10.96	144	80	0.555556
10.97	144	80	0.555556
10.98	144	80	0.555556
10.99	144	80	0.555556
11	144	80	0.555556
11.01	144	80	0.555556
